år,måned,type,column5,verdi
2021,1,Annet,,0
2021,1,Annet,,37.9
2021,1,Annet,,43.87
2021,1,Annet,,302
2021,1,Importert,,0
2021,1,Importert,,80
2021,1,Importert,,191.6
2021,1,Melvare,,0
2021,1,Pellet liten land,,0
2021,1,Pellet liten sjø,,75
2021,1,Pellet liten sjø,,121.5
2021,1,Pellet liten sjø,,4986.64
2021,1,Pellet liten sjø,,5773
2021,1,Pellet liten sjø,,6917.88
2021,1,Pellet liten sjø,,11025
2021,1,Pellet stor land,,0
2021,1,Pellet stor sjø,,0
2021,1,Pellet stor sjø,,230
2021,1,Pellet stor sjø,,17316
2021,1,Pellet stor sjø,,22258.33
2021,1,Pellet stor sjø,,22629
2021,1,Pellet stor sjø,,36146.73
2021,1,Settefisk,,0
2021,1,Settefisk,,157.7
2021,1,Settefisk,,1482.79
2021,1,Settefisk,,1841
2021,1,Total,,75
2021,1,Total,,351.5
2021,1,Total,,27440.57
2021,1,Total,,28341
2021,1,Total,,30545
2021,1,Total,,44591.270000000004
2021,2,Annet,,0
2021,2,Annet,,46.6
2021,2,Annet,,55.09
2021,2,Annet,,246
2021,2,Importert,,0
2021,2,Importert,,42
2021,2,Importert,,119.07
2021,2,Melvare,,0
2021,2,Pellet liten land,,0
2021,2,Pellet liten sjø,,99
2021,2,Pellet liten sjø,,157.2
2021,2,Pellet liten sjø,,4483.59
2021,2,Pellet liten sjø,,4573
2021,2,Pellet liten sjø,,5148.26
2021,2,Pellet liten sjø,,7476
2021,2,Pellet stor land,,0
2021,2,Pellet stor sjø,,0
2021,2,Pellet stor sjø,,0.3
2021,2,Pellet stor sjø,,13016
2021,2,Pellet stor sjø,,14243.619999999999
2021,2,Pellet stor sjø,,18887
2021,2,Pellet stor sjø,,27400.079999999998
2021,2,Settefisk,,0
2021,2,Settefisk,,72.47
2021,2,Settefisk,,1235.3
2021,2,Settefisk,,1986
2021,2,Total,,99
2021,2,Total,,157.5
2021,2,Total,,18846.28
2021,2,Total,,20492
2021,2,Total,,25692
2021,2,Total,,33838.73
2021,3,Annet,,0
2021,3,Annet,,47.4
2021,3,Annet,,48.44
2021,3,Annet,,396
2021,3,Importert,,0
2021,3,Importert,,52
2021,3,Importert,,318.24
2021,3,Melvare,,0
2021,3,Pellet liten land,,0
2021,3,Pellet liten sjø,,141
2021,3,Pellet liten sjø,,264.3
2021,3,Pellet liten sjø,,4670
2021,3,Pellet liten sjø,,5538.8899999999994
2021,3,Pellet liten sjø,,6238.0300000000007
2021,3,Pellet liten sjø,,8385
2021,3,Pellet stor land,,0
2021,3,Pellet stor sjø,,0
2021,3,Pellet stor sjø,,93
2021,3,Pellet stor sjø,,10476
2021,3,Pellet stor sjø,,20015
