år,uke,attributt,verdi
1996,1,Uke_omsatt,1749
1996,2,Uke_omsatt,4238
1996,3,Uke_omsatt,5002
1996,4,Uke_omsatt,4431
1996,5,Uke_omsatt,3772
1996,6,Uke_omsatt,4028
1996,7,Uke_omsatt,4399
1996,8,Uke_omsatt,4817
1996,9,Uke_omsatt,8830
1996,10,Uke_omsatt,5185
1996,11,Uke_omsatt,4837
1996,12,Uke_omsatt,4749
1996,13,Uke_omsatt,7142
1996,14,Uke_omsatt,3285
1996,15,Uke_omsatt,5721
1996,16,Uke_omsatt,5761
1996,17,Uke_omsatt,6751
1996,18,Uke_omsatt,5873
1996,19,Uke_omsatt,7280
1996,20,Uke_omsatt,6624
1996,21,Uke_omsatt,8171
1996,22,Uke_omsatt,7651
1996,23,Uke_omsatt,8092
1996,24,Uke_omsatt,9722
1996,25,Uke_omsatt,9397
1996,26,Uke_omsatt,12163
1996,27,Uke_omsatt,11334
1996,28,Uke_omsatt,11228
1996,29,Uke_omsatt,11892
1996,30,Uke_omsatt,13107
1996,31,Uke_omsatt,12082
1996,32,Uke_omsatt,12782
1996,33,Uke_omsatt,12906
1996,34,Uke_omsatt,14939
1996,35,Uke_omsatt,14030
1996,36,Uke_omsatt,12385
1996,37,Uke_omsatt,12488
1996,38,Uke_omsatt,12991
1996,39,Uke_omsatt,10948
1996,40,Uke_omsatt,11930
1996,41,Uke_omsatt,10708
1996,42,Uke_omsatt,10517
1996,43,Uke_omsatt,10195
1996,44,Uke_omsatt,11030
1996,45,Uke_omsatt,9590
1996,46,Uke_omsatt,8849
1996,47,Uke_omsatt,9839
1996,48,Uke_omsatt,9326
1996,49,Uke_omsatt,8407
1996,50,Uke_omsatt,8438
1996,51,Uke_omsatt,11619
1996,52,Uke_omsatt,4880
1996,53,Uke_omsatt,0
1997,1,Uke_omsatt,4280
1997,2,Uke_omsatt,5920
1997,3,Uke_omsatt,7100
1997,4,Uke_omsatt,5900
1997,5,Uke_omsatt,6400
1997,6,Uke_omsatt,5900
1997,7,Uke_omsatt,5880
1997,8,Uke_omsatt,5330
1997,9,Uke_omsatt,5957
1997,10,Uke_omsatt,5095
1997,11,Uke_omsatt,6087
1997,12,Uke_omsatt,7693
1997,13,Uke_omsatt,4726
1997,14,Uke_omsatt,5043
1997,15,Uke_omsatt,5645
1997,16,Uke_omsatt,7227
1997,17,Uke_omsatt,6648
1997,18,Uke_omsatt,7113
1997,19,Uke_omsatt,7127
1997,20,Uke_omsatt,8446
1997,21,Uke_omsatt,7208
1997,22,Uke_omsatt,11850
1997,23,Uke_omsatt,8271
1997,24,Uke_omsatt,10074
1997,25,Uke_omsatt,12404
1997,26,Uke_omsatt,12785
1997,27,Uke_omsatt,12047
1997,28,Uke_omsatt,12226
1997,29,Uke_omsatt,16250
1997,30,Uke_omsatt,16797
1997,31,Uke_omsatt,16374
1997,32,Uke_omsatt,14897
1997,33,Uke_omsatt,14775
1997,34,Uke_omsatt,14022
1997,35,Uke_omsatt,18280
1997,36,Uke_omsatt,13878
1997,37,Uke_omsatt,13854
1997,38,Uke_omsatt,14681
1997,39,Uke_omsatt,18025
1997,40,Uke_omsatt,13333
1997,41,Uke_omsatt,14313
1997,42,Uke_omsatt,14087
1997,43,Uke_omsatt,12964
1997,44,Uke_omsatt,14617
1997,45,Uke_omsatt,11742
1997,46,Uke_omsatt,9956
1997,47,Uke_omsatt,11101
1997,48,Uke_omsatt,11020
1997,49,Uke_omsatt,7851
1997,50,Uke_omsatt,8352
1997,51,Uke_omsatt,11880
1997,52,Uke_omsatt,6660
1997,53,Uke_omsatt,0
1998,1,Uke_omsatt,5606.8340345
1998,2,Uke_omsatt,7112
1998,3,Uke_omsatt,7605
1998,4,Uke_omsatt,6818
1998,5,Uke_omsatt,7513
1998,6,Uke_omsatt,5915
1998,7,Uke_omsatt,4559
1998,8,Uke_omsatt,5775
1998,9,Uke_omsatt,6347
1998,10,Uke_omsatt,6199
1998,11,Uke_omsatt,4439
1998,12,Uke_omsatt,4924
1998,13,Uke_omsatt,6363
1998,14,Uke_omsatt,8102
1998,15,Uke_omsatt,2576
1998,16,Uke_omsatt,7225
1998,17,Uke_omsatt,5766
1998,18,Uke_omsatt,8284
1998,19,Uke_omsatt,8560
1998,20,Uke_omsatt,7657
1998,21,Uke_omsatt,7767
1998,22,Uke_omsatt,12306
1998,23,Uke_omsatt,8308
1998,24,Uke_omsatt,10703
1998,25,Uke_omsatt,10861
1998,26,Uke_omsatt,12857
1998,27,Uke_omsatt,12792
1998,28,Uke_omsatt,14844
1998,29,Uke_omsatt,13960
1998,30,Uke_omsatt,15960
1998,31,Uke_omsatt,17331
1998,32,Uke_omsatt,15137
1998,33,Uke_omsatt,18408
1998,34,Uke_omsatt,16270
1998,35,Uke_omsatt,17679
1998,36,Uke_omsatt,16047
1998,37,Uke_omsatt,17744
1998,38,Uke_omsatt,16891
1998,39,Uke_omsatt,18100
1998,40,Uke_omsatt,16250
1998,41,Uke_omsatt,15298
1998,42,Uke_omsatt,16910
1998,43,Uke_omsatt,13608
1998,44,Uke_omsatt,14181
1998,45,Uke_omsatt,10641
