ApplicationNo,CreatedAt,Status,Type,Title,ApplicantOrgNumber,ApplicantOrgName,WithdrawnAt,SubmittedAt,OverallResult,EvaluationFinishedAt,DecisionResult,DecisionTime,ProcessingDays
SP-2023-000001,2023-02-16T11:39:06.540Z,PROCESSED,CHANGE_SITE,HUNDBERGAN,858000742,FLAKSTADVÅG LAKS AS,,,PENDING,,,,
SP-2023-000002,2023-02-16T19:31:54.903Z,RETURNED,NEW_SITE,Segløygrunna,915021352,SALMO INNOVATION AS,,,PENDING,,,,
SP-2023-000035,2023-02-24T14:03:57.392Z,PROCESSED,CHANGE_SITE,SØRVÆRET,976543718,SINKABERGHANSEN AS,,,PENDING,,,,
SP-2023-000036,2023-02-24T14:07:25.121Z,SUBMITTED,CHANGE_SITE,VARHOLMEN,976543718,SINKABERGHANSEN AS,,,PENDING,,,,
SP-2023-000037,2023-03-13T07:44:33.353Z,WITHDRAWN,CHANGE_SITE,JAMNUNGEN,821489962,NORCOD AS,,,PENDING,,,,
SP-2023-000038,2023-03-16T13:57:08.076Z,WITHDRAWN,CHANGE_SITE,MARØYA,976543718,SINKABERGHANSEN AS,,,PENDING,,,,
SP-2023-000039,2023-03-20T14:20:08.422Z,PROCESSED,CHANGE_SITE,MARØYA,976543718,SINKABERGHANSEN AS,,,PENDING,,,,
SP-2023-000040,2023-03-21T14:43:44.098Z,PROCESSED,CHANGE_SITE,FLOTENESET,959473706,AUSTEVOLL MELAKS AS,,,PENDING,,,,
SP-2023-000041,2023-03-23T09:51:12.454Z,SUBMITTED,CHANGE_SITE,HUNDHOLMEN,937504446,WENBERG FISKEOPPDRETT AS,,,PENDING,,,,
SP-2023-000042,2023-03-27T10:23:10.391Z,PROCESSED,NEW_SITE,Langtaren,933792854,MÅSØVAL AS,,,PENDING,,,,
SP-2023-000043,2023-03-31T12:58:28.083Z,PROCESSED,NEW_SITE,Slapøyværet,976253744,LETSEA AS,,,PENDING,,,,
SP-2023-000044,2023-04-04T06:50:18.165Z,PROCESSED,CHANGE_SITE,BØRØYA SLAKTEMERD,976725859,NORDLAKS PRODUKTER AS,,,PENDING,,,,
SP-2023-000045,2023-04-14T06:14:52.910Z,PROCESSED,CHANGE_SITE,OLAUSSKJÆRET,928957489,SALMAR OPPDRETT AS,,,PENDING,,,,
SP-2023-000046,2023-04-19T11:26:56.055Z,PROCESSED,CHANGE_SITE,HISKHOLMEN,914380553,FYLKESNES FISK AS,,,PENDING,,,,
SP-2023-000047,2023-05-02T12:46:24.247Z,PROCESSED,CHANGE_SITE,HESTHOLMEN Ø,838065392,GRIEG SEAFOOD ROGALAND AS,,,PENDING,,,,
SP-2023-000048,2023-05-03T07:05:31.268Z,PROCESSED,CHANGE_SITE,DIGERMULEN,921668236,MOWI SEAWATER NORWAY AS,,,PENDING,,,,
SP-2023-000049,2023-05-10T13:29:12.930Z,PROCESSED,CHANGE_SITE,Skarvhammaren,976253744,LETSEA AS,,,PENDING,,,,
