year,week,mmsi,vessel_name,vessel_type,capacity,capacity_unit,plant_id,plant_name,plant_company,approval_number,entry_time,exit_time,duration_hrs
2026,35,257060720,Taupo,Processing vessel,320,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2026-08-23T23:40:43+00:00,2026-08-24T15:23:19+00:00,15.71
2026,35,257060720,Taupo,Processing vessel,320,tonn,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2026-08-25T22:10:43+00:00,2026-08-26T06:32:22+00:00,8.36
2026,35,258232000,Tauranga,Processing vessel,300,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-23T22:00:28.866154+00:00,2026-08-23T23:14:48+00:00,1.24
2026,35,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY SEAFOOD INDUSTRI AS AVDELING AUSTEVOLL,LERØY SEAFOOD INDUSTRI AS,H72,2026-08-24T02:58:41+00:00,2026-08-24T15:17:53+00:00,12.32
2026,35,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY SEAFOOD INDUSTRI AS AVDELING AUSTEVOLL,LERØY SEAFOOD INDUSTRI AS,H72,2026-08-25T00:51:52+00:00,2026-08-25T15:25:08+00:00,14.55
2026,35,257085210,SEIHAUST,Processing vessel,420,tonn,Z1105311515243520150MVNSI,LERØY SEAFOOD INDUSTRI AS AVDELING AUSTEVOLL,LERØY SEAFOOD INDUSTRI AS,H72,2026-08-25T23:47:44+00:00,2026-08-26T06:27:53+00:00,6.67
2026,35,257963000,SEIVEST,Processing vessel,220,tonn,Z1105311515243520150MVNSI,LERØY SEAFOOD INDUSTRI AS AVDELING AUSTEVOLL,LERØY SEAFOOD INDUSTRI AS,H72,2026-08-24T02:19:22+00:00,2026-08-25T15:13:46+00:00,36.91
2026,35,257215000,Seifisk Jr,Processing vessel,80,tonn,Z0704301424162041189ZENLE,SEKKINGSTAD AS AVD SALG AV FISK,SEKKINGSTAD AS,H112,2026-08-24T04:19:17+00:00,2026-08-24T13:46:05+00:00,9.45
2026,35,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-23T22:23:27+00:00,2026-08-24T11:48:39+00:00,13.42
2026,35,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-25T00:51:26+00:00,2026-08-25T12:25:21+00:00,11.57
2026,35,257070650,FONNALAKS,Processing vessel,450,tonn,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-26T03:18:35+00:00,2026-08-26T06:30:32+00:00,3.2
2026,35,258587000,FJORDFISKEN,Processing vessel,110,tonn,Z1402261413084083180WZAKP,SLAKTERIET BREKKE AS,SLAKTERIET BREKKE AS,SF371,2026-08-23T22:00:44+00:00,2026-08-24T10:00:34+00:00,12.0
2026,35,258587000,FJORDFISKEN,Processing vessel,110,tonn,Z1402261413084083180WZAKP,SLAKTERIET BREKKE AS,SLAKTERIET BREKKE AS,SF371,2026-08-24T22:00:37+00:00,2026-08-25T12:42:33+00:00,14.7
2026,35,258587000,FJORDFISKEN,Processing vessel,110,tonn,Z1402261413084083180WZAKP,SLAKTERIET BREKKE AS,SLAKTERIET BREKKE AS,SF371,2026-08-26T03:00:42+00:00,2026-08-26T06:30:28+00:00,3.5
2026,35,258571000,RONJA SUPERIOR,Wellboat,1000,m3,Z1201301246319220109BARYH,ODE PROCESSING AS,ODE PROCESSING AS,M465,2026-08-24T01:57:22+00:00,2026-08-24T14:28:29+00:00,12.52
2026,35,258571000,RONJA SUPERIOR,Wellboat,1000,m3,Z1201301246319220109BARYH,ODE PROCESSING AS,ODE PROCESSING AS,M465,2026-08-26T03:09:13+00:00,2026-08-26T06:29:42+00:00,3.34
2026,35,257262000,RONJA SUND,Wellboat,1800,m3,Z0704301424118911189JHRRD,KIRKENES PROCESSING AS,KIRKENES PROCESSING AS,F55,2026-08-24T01:45:53+00:00,2026-08-25T11:31:09+00:00,33.75
2026,35,257262000,RONJA SUND,Wellboat,1800,m3,Z0704301424118911189JHRRD,KIRKENES PROCESSING AS,KIRKENES PROCESSING AS,F55,2026-08-25T21:49:07+00:00,2026-08-26T06:30:13+00:00,8.69
2026,35,257451000,RONJA EXPLORER,Wellboat,2500,m3,Z2602250931297462024SJNQN,SINKABERG NT145 AS,SINKABERG NT145 AS,NT145,2026-08-23T23:10:30+00:00,2026-08-24T12:04:30+00:00,12.9
2026,35,257451000,RONJA EXPLORER,Wellboat,2500,m3,Z2602250931297462024SJNQN,SINKABERG NT145 AS,SINKABERG NT145 AS,NT145,2026-08-24T21:23:50+00:00,2026-08-25T11:30:10+00:00,14.11
2026,35,257451000,RONJA EXPLORER,Wellboat,2500,m3,Z2602250931297462024SJNQN,SINKABERG NT145 AS,SINKABERG NT145 AS,NT145,2026-08-25T19:51:09+00:00,2026-08-26T06:29:30+00:00,10.64
2026,35,257938000,RONJA PRINCESS,Wellboat,3000,m3,Z0804171018571000115LHWTD,SALMAR AS AVD BEARBEIDING,SALMAR AS,ST423,2026-08-23T22:15:58+00:00,2026-08-24T07:19:26+00:00,9.06
2026,35,257979000,RONJA AZUL,Wellboat,3000,m3,Z0704301422215991189EHFHY,GRIEG SEAFOOD ROGALAND AS AVD STJERNELAKS,GRIEG SEAFOOD ROGALAND AS,R114,2026-08-26T00:24:06+00:00,2026-08-26T01:44:07+00:00,1.33
2026,35,258056000,RONJA QUEEN,Wellboat,3000,m3,Z2305251131207332025WLHJK,SEASHORE INDUSTRI AS,SEASHORE INDUSTRI AS,H82,2026-08-24T15:53:28+00:00,2026-08-25T09:15:09+00:00,17.36
2026,35,257233000,RONJA MISTRAL,Wellboat,3000,m3,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2026-08-25T21:49:10+00:00,2026-08-26T01:14:44+00:00,3.43
2026,35,257789000,RONJA VEST,Wellboat,4000,m3,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-25T13:50:54+00:00,2026-08-25T17:50:25+00:00,3.99
2026,35,257789000,RONJA VEST,Wellboat,4000,m3,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-25T18:47:24+00:00,2026-08-25T22:14:26+00:00,3.45
2026,35,257789000,RONJA VEST,Wellboat,4000,m3,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-25T22:17:25+00:00,2026-08-26T03:59:28+00:00,5.7
2026,35,257789000,RONJA VEST,Wellboat,4000,m3,Z2211231343518010127PJNOY,HARDANGER SEAFOOD AS AVD BØMLO,HARDANGER SEAFOOD AS,VL59,2026-08-26T04:02:27+00:00,2026-08-26T05:29:30+00:00,1.45
2026,35,257343000,RONJA BORØY,Wellboat,5700,m3,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2026-08-24T05:17:04+00:00,2026-08-24T10:37:32+00:00,5.34
2026,35,257649000,RONJA VITA,Wellboat,3000,m3,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2026-08-24T21:07:20+00:00,2026-08-24T22:50:23+00:00,1.72
2026,35,257649000,RONJA VITA,Wellboat,3000,m3,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2026-08-26T00:09:59+00:00,2026-08-26T01:49:33+00:00,1.66
2026,35,258108000,RONJA SETTLER,Wellboat,600,m3,Z1201301246319220109BARYH,ODE PROCESSING AS,ODE PROCESSING AS,M465,2026-08-24T20:52:21+00:00,2026-08-25T12:08:59+00:00,15.28
2026,35,257652000,BJØRG PAULINE,Wellboat,5800,m3,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2026-08-24T04:16:58+00:00,2026-08-24T10:24:02+00:00,6.12
2026,35,257458000,RO SAILOR,Wellboat,2800,m3,Z0910050746533480130LTAYW,NORDLAKS PRODUKTER AS AVD STOKMARKNES,NORDLAKS PRODUKTER AS,N169,2026-08-23T23:34:28+00:00,2026-08-24T00:47:09+00:00,1.21
2026,35,257458000,RO SAILOR,Wellboat,2800,m3,Z0704301422335251190HLNPN,CERMAQ NORWAY AS AVD SLAKTERI RYPEFJORD,CERMAQ NORWAY AS,F430,2026-08-25T11:16:09+00:00,2026-08-25T14:42:30+00:00,3.44
2026,35,257458000,RO SAILOR,Wellboat,2800,m3,Z0704301422335251190HLNPN,CERMAQ NORWAY AS AVD SLAKTERI RYPEFJORD,CERMAQ NORWAY AS,F430,2026-08-25T18:44:48+00:00,2026-08-25T20:24:30+00:00,1.66
2026,35,257028310,RO FORTUNE,Wellboat,3500,m3,Z2202231150559570128LKGGT,SALTEN N950 AS,SALTEN N950 AS,N950,2026-08-25T04:32:00+00:00,2026-08-25T06:56:42+00:00,2.41
2026,35,258685000,RO NORTH,Wellboat,3500,m3,Z1912211249403082024JYKGJ,MOWI AVD SLAKTERI HERØY,MOWI ASA,N1115,2026-08-25T05:42:24+00:00,2026-08-25T07:54:57+00:00,2.21
2026,35,258791000,RO ARCTIC,Wellboat,3024,m3,Z1110241124575500147KIQZP,ARNØY LAKS SLAKTERI AS,ARNØY LAKS SLAKTERI AS,T107,2026-08-25T14:36:12+00:00,2026-08-25T16:15:52+00:00,1.66
2026,35,257430000,RO FJORD,Wellboat,2800,m3,Z1201311012578810250XTDFD,MOWI AVD EGGEBØNES PROCESSING,MOWI ASA,M394,2026-08-24T21:24:37+00:00,2026-08-24T22:30:28+00:00,1.1
2026,35,257430000,RO FJORD,Wellboat,2800,m3,Z0704301423181931190OZNOL,VIKENCO AS,VIKENCO AS,M200,2026-08-25T20:00:25+00:00,2026-08-26T06:30:27+00:00,10.5
2026,35,259183000,RO MASTER,Wellboat,2800,m3,Z2405241007452030127CRCJB,HOLMØY PRODUKTER AS,HOLMØY PRODUKTER AS,N445,2026-08-24T14:20:31+00:00,2026-08-24T15:37:16+00:00,1.28
2026,35,259183000,RO MASTER,Wellboat,2800,m3,Z2605280717073982024HDNFW,LERØY SEAFOOD INDUSTRI AS AVDELING SKJERVØY,LERØY SEAFOOD INDUSTRI AS,T126,2026-08-25T12:45:49+00:00,2026-08-25T16:58:45+00:00,4.22
2026,35,258375000,RO CHIEF,Wellboat,1200,m3,Z2605120823524162025EJUMM,CERMAQ NORWAY AS AVD LAKSESLAKTERI,CERMAQ NORWAY AS,F480,2026-08-24T01:40:46+00:00,2026-08-24T02:43:27+00:00,1.04
2026,35,258375000,RO CHIEF,Wellboat,1200,m3,Z2605120823524162025EJUMM,CERMAQ NORWAY AS AVD LAKSESLAKTERI,CERMAQ NORWAY AS,F480,2026-08-24T15:31:27+00:00,2026-08-24T16:32:06+00:00,1.01
2026,35,257210000,ROSTEIN,Wellboat,1050,m3,Z2407170857041770128STKGY,EIDE BRANDASUND AS AVD BRANDASUND,EIDE BRANDASUND AS,VL76,2026-08-24T14:52:20+00:00,2026-08-24T15:56:35+00:00,1.07
