LocalityNumber,LocalityName,Disease,ZoneType,ZoneName,Forsknr,Suspected,Confirmed,IsOutbreakSite,ZoneFrom,ZoneTo,FetchedDate
10086,Rekeviki,ISA,Protection,FOR-2025-12-24-2915,FOR-2025-12-24-2915,False,False,True,2025-12-24T00:00:00+01:00,,2026-05-01
10086,Rekeviki,ISA,Surveillance,FOR-2025-12-24-2915,FOR-2025-12-24-2915,False,False,True,2025-12-24T00:00:00+01:00,,2026-05-01
10232,Mannbruholmen,ISA,Protection,FOR-2026-03-31-539,FOR-2026-03-31-539,False,False,True,2026-03-31T00:00:00+02:00,,2026-05-01
10232,Mannbruholmen,ISA,Surveillance,FOR-2026-03-31-539,FOR-2026-03-31-539,False,False,True,2026-03-31T00:00:00+02:00,,2026-05-01
10262,Lille Kvitholmen,ISA,Surveillance,FOR-2025-06-27-1351,FOR-2025-06-27-1351,False,False,True,2025-11-20T00:00:00+01:00,,2026-05-01
10281,Store Kvalfjord,ISA,Surveillance,FOR-2024-06-18-1045,FOR-2024-06-18-1045,False,False,True,2025-03-28T00:00:00+01:00,,2026-05-01
10300,Hillersvik,ISA,Surveillance,FOR-2024-05-23-819,FOR-2024-05-23-819,False,False,True,2024-11-02T00:00:00+01:00,,2026-05-01
10398,Seiskjæra,ISA,Surveillance,FOR-2025-06-06-982,FOR-2025-06-06-982,False,False,True,2025-08-23T00:00:00+02:00,,2026-05-01
10409,Kjelneset,ISA,Protection,FOR-2025-10-16-2053,FOR-2025-10-16-2053,False,True,True,2025-12-09T00:00:00+01:00,,2026-05-01
10409,Kjelneset,ISA,Surveillance,FOR-2025-10-16-2053,FOR-2025-10-16-2053,False,True,True,2025-12-09T00:00:00+01:00,,2026-05-01
10504,Vedvika,ISA,Surveillance,FOR-2025-06-12-1010,FOR-2025-06-12-1010,False,False,True,2026-01-27T00:00:00+01:00,,2026-05-01
10505,Dragnes,ISA,Surveillance,FOR-2025-06-30-1391,FOR-2025-06-30-1391,False,False,True,2025-10-16T00:00:00+02:00,,2026-05-01
10505,Dragnes,ISA,Surveillance,FOR-2024-06-07-927,FOR-2024-06-07-927,False,False,True,2024-09-23T00:00:00+02:00,,2026-05-01
10560,Kårvik,ISA,Surveillance,FOR-2025-11-20-2312,FOR-2025-11-20-2312,False,False,True,2026-01-08T00:00:00+01:00,,2026-05-01
10757,Dåvøya,ISA,Protection,FOR-2025-10-31-2158,FOR-2025-10-31-2158,False,True,True,2025-10-31T00:00:00+01:00,,2026-05-01
10757,Dåvøya,ISA,Surveillance,FOR-2025-10-31-2158,FOR-2025-10-31-2158,False,True,True,2025-10-31T00:00:00+01:00,,2026-05-01
10759,Karanes,ISA,Protection,FOR-2025-10-31-2158,FOR-2025-10-31-2158,False,False,True,2025-10-31T00:00:00+01:00,,2026-05-01
10759,Karanes,ISA,Surveillance,FOR-2025-10-31-2158,FOR-2025-10-31-2158,False,False,True,2025-10-31T00:00:00+01:00,,2026-05-01
10768,Indre Kårvik I,ISA,Surveillance,FOR-2025-11-20-2312,FOR-2025-11-20-2312,False,False,True,2026-01-08T00:00:00+01:00,,2026-05-01
10769,Indre Kårvik II,ISA,Surveillance,FOR-2025-11-20-2312,FOR-2025-11-20-2312,False,False,True,2026-01-08T00:00:00+01:00,,2026-05-01
10790,Olderfjord,ISA,Surveillance,FOR-2025-03-13-432,FOR-2025-03-13-432,False,False,True,2025-08-25T00:00:00+02:00,,2026-05-01
10839,Store Kufjord,ISA,Surveillance,FOR-2024-06-18-1045,FOR-2024-06-18-1045,False,False,True,2025-03-28T00:00:00+01:00,,2026-05-01
10840,Lille Kufjord,ISA,Surveillance,FOR-2024-06-18-1045,FOR-2024-06-18-1045,False,False,True,2025-03-28T00:00:00+01:00,,2026-05-01
11230,Børøya Slaktemerd,ISA,Surveillance,FOR-2024-06-07-927,FOR-2024-06-07-927,False,False,True,2024-09-23T00:00:00+02:00,,2026-05-01
