openLegalEntityNr,legalEntityName,owner_group,note
921668236,MOWI SEAWATER NORWAY AS,Mowi,formerly Marine Harvest Norway AS then Mowi Norway AS
928957489,SALMAR OPPDRETT AS,SalMar,merger of SalMar Farming and SalMar Nord
995640996,OCEAN FARMING AS,SalMar,offshore unit (Ocean Farm 1)
921634056,ARCTIC OFFSHORE FARMING AS,SalMar,ex-NRS offshore unit; NRS acquired by SalMar 2022 - VERIFY
930152366,CERMAQ NORWAY SALMON AS,Cermaq,acquired Grieg Seafood Finnmark 2025-26
930155209,LERØY MIDT SJØ AS,Lerøy,
930155179,LERØY AURORA SJØ AS,Lerøy,
930185698,LERØY VEST SJØ AS,Lerøy,
930181528,SJØTROLL HAVBRUK SJØ AS,Lerøy,
935496578,GRIEG SEAFOOD FARMING AS,Grieg Seafood,Rogaland only after the Finnmark sale
929911946,NORDLAKS HAVBRUK AS,Nordlaks,formerly Nordlaks Oppdrett AS
827248312,NOVA SEA HAVBRUK AS,Nova Sea,Mowi holds a controlling stake NOT visible in this register
926968955,SINKABERG HAVBRUK AS,SinkabergHansen,
836597702,SEASHORE SJØ AS,Bremnes Seashore,formerly Bremnes Seashore AS
994300474,MÅSØVAL LISENS AS,Måsøval,
929535081,HOLMØY HAVBRUK AS,Holmøy,
816157382,SALAKS PRODUKSJON AS,Salaks,
866751242,EIDE FJORDBRUK AS,Eide Fjordbruk,
