Type,Navn,MMSI,LAST-KAP,ENHET,Ombygd,Kommentar1,Kommentar2
Processing vessel,Taupo,257060720,320,tonn,,,
Processing vessel,Taupiri,257077570,360,tonn,,,
Processing vessel,Tauranga,258232000,300,tonn,,,
Processing vessel,Taumar,257090830,160,tonn,,,
Processing vessel,Volt Harvest I,259080000,150,tonn,,,
Processing vessel,Volt Harvest II,259004230,330,tonn,,,
Processing vessel,Volt Harvest III,258120000,350,tonn,,,
Processing vessel,AQUA SOLUNDOY,257624000,175,tonn,,,
Processing vessel,SEIHAUST,257085210,420,tonn,,,
Processing vessel,SEIBRIS,257121000,80,tonn,,,
Processing vessel,SEIVEST,257963000,220,tonn,,,
Processing vessel,Seifisk Jr,257215000,80,tonn,,,
Processing vessel,FONNALAKS,257070650,450,tonn,,,
Processing vessel,AQUA MIST,257090850,340,tonn,,,
Processing vessel,FJORDFISKEN,258587000,110,tonn,26/10/2021,ombygd,
Wellboat,RONJA COMMANDER,258118000,900,m3,,,
Wellboat,RONJA VIKING,257715000,1000,m3,,,
Wellboat,RONJA SUPERIOR,258571000,1000,m3,,,
Wellboat,RONJA NORDIC,258255000,1000,m3,,,
Wellboat,RONJA CARRIER,259288000,1200,m3,,,
Wellboat,RONJA ISLANDER,316015480,1800,m3,,,
Wellboat,RONJA CHALLENGER,258085000,1800,m3,,,
Wellboat,RONJA SUPPORTER,258187000,1800,m3,,,
Wellboat,RONJA TIND,258053000,1800,m3,,,
Wellboat,RONJA SUND,257262000,1800,m3,,,
Wellboat,RONJA FJORD,257659000,1800,m3,,,
Wellboat,RONJA HARVESTER,258799000,1900,m3,,,
Wellboat,RONJA EXPLORER,257451000,2500,m3,,,
Wellboat,RONJAFISK,257508000,2500,m3,,,
Wellboat,RONJA CHRISTOPHER,257125430,2500,m3,,,
Wellboat,RONJA POLARIS,258672000,3000,m3,,,
Wellboat,RONJA HUON,258871000,3000,m3,,,
Wellboat,RONJA PRINCESS,257938000,3000,m3,,,
Wellboat,RONJA AZUL,257979000,3000,m3,,,
Wellboat,RONJA QUEEN,258056000,3000,m3,,,
Wellboat,RONJA AURORA,257155000,3000,m3,,,
Wellboat,RONJA MISTRAL,257233000,3000,m3,,,
Wellboat,RONJA KVALØY,257069640,3000,m3,,,
Wellboat,RONJA OCEAN,257001960,3200,m3,,,
Wellboat,RONJA STRAND,258487000,3600,m3,,,
Wellboat,AQUA SPA,257076980,3900,m3,,,
Wellboat,RONJA MALØY,257087580,3900,m3,,,
Wellboat,RONJA SKILSØY,257563000,3900,m3,,,
Wellboat,RONJA HAVSØY,257594000,3900,m3,,,
Wellboat,RONJA SKYE,257648000,3900,m3,,,
Wellboat,RONJA HOMBORØY,257703000,3900,m3,,,
Wellboat,RONJA VEST,257789000,4000,m3,,,
Wellboat,RONJA NÆRØYSUND,257920000,4000,m3,,,
Wellboat,RONJA STAR,259170000,4000,m3,,,
Wellboat,RONJA SILVER,258111000,5000,m3,,,
Wellboat,RONJA HERØY,258112000,5700,m3,,,
Wellboat,RONJA STORM,257087610,7450,m3,,,
Wellboat,RONJA BORØY,257343000,5700,m3,,,
Wellboat,RONJA VITA,257649000,3000,m3,,,
Wellboat,RONJA EVOLUTION,257410000,3000,m3,,,
Wellboat,RONJA SETTLER,258108000,600,m3,,,
